#  Loads are defined as two 120V loads connected line to neutral
#  Phase designation "ab" implies two 120V loads
#  kW load is divided equally between the two 120V "phases"
#  Status: fixed=does not vary (load multipliers do not apply)

Name, NumPhases, Bus, phases, Voltage, status, model, connection, kW, PF
138236B0, 2, SX2673305B, ab,  120.0,  variable, 1,  wye, 3.89, 0.97
138237B0, 2, SX3048196B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
138258C0, 2, SX2991911C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
138259C0, 2, SX2973158C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
138260A0, 2, SX3048208A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
138262A0, 2, SX3029502A, ab,  120.0,  variable, 1,  wye, 17.74, 0.97
138264B0, 2, SX3104125B, ab,  120.0,  variable, 1,  wye, 9.73, 0.97
138265A0, 2, SX3160107A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
138294B0, 2, SX2785516B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
138313A0, 2, SX3141400A, ab,  120.0,  variable, 1,  wye, 3.55, 0.97
138342C0, 2, SX2897775C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
138343C0, 2, SX3010565C, ab,  120.0,  variable, 1,  wye, 4.07, 0.97
138346C0, 2, SX2916609C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
138371C0, 2, SX2879073C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
138372C0, 2, SX3104126C, ab,  120.0,  variable, 1,  wye, 4.07, 0.97
138373C0, 2, SX3029503C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
138374C0, 2, SX2691950C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
138379C0, 2, SX2691951C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
138380C0, 2, SX2879076C, ab,  120.0,  variable, 1,  wye, 4.07, 0.97
138404C0, 2, SX2841630C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
138405C0, 2, SX2841629C, ab,  120.0,  variable, 1,  wye, 15.26, 0.97
138412C0, 2, SX2785523C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
138413C0, 2, SX3216347C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
138416C0, 2, SX3141388C, ab,  120.0,  variable, 1,  wye, 4.07, 0.97
138464C0, 2, SX3066801C, ab,  120.0,  variable, 1,  wye, 4.07, 0.97
138465C0, 2, SX2879055C, ab,  120.0,  variable, 1,  wye, 4.07, 0.97
138466C0, 2, SX2973144C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
138469C0, 2, SX2785518C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
138470C0, 2, SX2766717C, ab,  120.0,  variable, 1,  wye, 4.07, 0.97
138472C0, 2, SX2673309C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
138560A0, 2, SX3104113A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
138561A0, 2, SX3104121A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
138562A0, 2, SX2673310A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
138563A0, 2, SX2916627A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
138564A0, 2, SX2804283A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
138565A0, 2, SX3104122A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
138566A0, 2, SX2785519A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
138567A0, 2, SX2748129A, ab,  120.0,  variable, 1,  wye, 13.30, 0.97
138569A0, 2, SX2973151A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
138570A0, 2, SX2748146A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
138571A0, 2, SX2991913A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
138573A0, 2, SX3235253A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
