#Wind Turbine Test Standard Weather File
$state_name=Washington
$city_name=Richland
$lat_deg=46
$lat_min=17
$long_deg=119
$long_min=17
$timezone_offset=-7
temperature,wind_speed,pressure
#month:day:hour:minute:second
01:01:00:00:00,32,0,1000
01:02:00:00:00,32,0,1000
01:02:01:00:00,32,1,1000
01:02:02:00:00,32,2,1000
01:02:03:00:00,32,3,1000
01:02:04:00:00,32,4,1000
01:02:05:00:00,32,5,1000
01:02:06:00:00,32,6,1000
01:02:07:00:00,32,7,1000
01:02:08:00:00,32,8,1000
01:02:09:00:00,32,9,1000
01:02:10:00:00,32,10,1000
01:02:11:00:00,32,11,1000
01:02:12:00:00,32,12,1000
01:02:13:00:00,32,13,1000
01:02:14:00:00,32,14,1000
01:02:15:00:00,32,15,1000
01:02:16:00:00,32,16,1000
01:02:17:00:00,32,17,1000
01:02:18:00:00,32,18,1000
01:02:19:00:00,32,19,1000
01:02:20:00:00,32,20,1000
01:02:21:00:00,32,21,1000
01:02:22:00:00,32,22,1000
01:02:23:00:00,32,23,1000
01:03:00:00:00,32,24,1000
01:03:01:00:00,32,25,1000
01:03:02:00:00,32,26,1000
01:03:03:00:00,32,27,1000
01:03:04:00:00,32,28,1000
01:03:05:00:00,32,29,1000
01:03:06:00:00,32,30,1000
01:03:07:00:00,32,31,1000
01:03:08:00:00,32,30,1000
01:03:09:00:00,32,29,1000
01:03:10:00:00,32,28,1000
01:03:11:00:00,32,27,1000
01:03:12:00:00,32,26,1000
01:03:13:00:00,32,25,1000
01:03:14:00:00,32,24,1000
01:03:15:00:00,32,23,1000
01:03:16:00:00,32,22,1000
01:03:17:00:00,32,21,1000
01:03:18:00:00,32,20,1000
01:03:19:00:00,32,19,1000
01:03:20:00:00,32,18,1000
01:03:21:00:00,32,17,1000
01:03:22:00:00,32,16,1000
01:03:23:00:00,32,15,1000
01:04:00:00:00,32,14,1000
01:04:01:00:00,32,13,1000
01:04:02:00:00,32,12,1000
01:04:03:00:00,32,11,1000
01:04:04:00:00,32,10,1000
01:04:05:00:00,32,9,1000
01:04:06:00:00,32,8,1000
01:04:07:00:00,32,7,1000
01:04:08:00:00,32,6,1000
01:04:09:00:00,32,5,1000
01:04:10:00:00,32,4,1000
01:04:11:00:00,32,3,1000
01:04:12:00:00,32,2,1000
01:04:13:00:00,32,1,1000
01:04:14:00:00,32,0,1000
12:31:23:59:59,32,0,1000
